statusId,status,status_group,constructorId,driverId,raceId,year,round,circuitId,date,fp1_date,fp2_date,fp3_date,quali_date,sprint_date,resultId,grid,positionOrder,laps
1,Finished,Finished,1,1,2,2009,2,2,2009-04-05,,,,,,7580,12,7,31
1,Finished,Finished,1,1,3,2009,3,17,2009-04-19,,,,,,7599,9,6,56
1,Finished,Finished,1,1,4,2009,4,3,2009-04-26,,,,,,7617,5,4,57
1,Finished,Finished,1,1,7,2009,7,5,2009-06-07,,,,,,7686,16,13,58
1,Finished,Finished,1,1,10,2009,10,11,2009-07-26,,,,,,7734,4,1,70
1,Finished,Finished,1,1,11,2009,11,12,2009-08-23,,,,,,7755,1,2,57
1,Finished,Finished,1,1,14,2009,14,15,2009-09-27,,,,,,7814,1,1,61
1,Finished,Finished,1,1,15,2009,15,22,2009-10-04,,,,,,7836,3,3,53
1,Finished,Finished,1,1,16,2009,16,18,2009-10-18,,,,,,7856,17,3,71
1,Finished,Finished,1,1,18,2008,1,1,2008-03-16,,,,,,1,1,1,58
1,Finished,Finished,1,1,19,2008,2,2,2008-03-23,,,,,,27,9,5,56
1,Finished,Finished,1,1,21,2008,4,4,2008-04-27,,,,,,69,5,3,66
1,Finished,Finished,1,1,22,2008,5,5,2008-05-11,,,,,,90,3,2,58
1,Finished,Finished,1,1,23,2008,6,6,2008-05-25,,,,,,109,3,1,76
1,Finished,Finished,1,1,25,2008,8,8,2008-06-22,,,,,,158,13,10,70
1,Finished,Finished,1,1,26,2008,9,9,2008-07-06,,,,,,169,4,1,60
1,Finished,Finished,1,1,27,2008,10,10,2008-07-20,,,,,,189,1,1,67
1,Finished,Finished,1,1,28,2008,11,11,2008-08-03,,,,,,213,1,5,70
1,Finished,Finished,1,1,29,2008,12,12,2008-08-24,,,,,,230,2,2,57
1,Finished,Finished,1,1,30,2008,13,13,2008-09-07,,,,,,251,1,3,44
1,Finished,Finished,1,1,31,2008,14,14,2008-09-14,,,,,,275,15,7,53
1,Finished,Finished,1,1,32,2008,15,15,2008-09-28,,,,,,291,2,3,61
1,Finished,Finished,1,1,33,2008,16,16,2008-10-12,,,,,,320,1,12,67
1,Finished,Finished,1,1,34,2008,17,17,2008-10-19,,,,,,329,1,1,56
1,Finished,Finished,1,1,35,2008,18,18,2008-11-02,,,,,,353,4,5,71
1,Finished,Finished,1,1,36,2007,1,1,2007-03-18,,,,,,371,4,3,58
1,Finished,Finished,1,1,37,2007,2,2,2007-04-08,,,,,,392,4,2,56
1,Finished,Finished,1,1,38,2007,3,3,2007-04-15,,,,,,414,2,2,57
1,Finished,Finished,1,1,39,2007,4,4,2007-05-13,,,,,,436,4,2,65
1,Finished,Finished,1,1,40,2007,5,6,2007-05-27,,,,,,458,2,2,78
1,Finished,Finished,1,1,41,2007,6,7,2007-06-10,,,,,,479,1,1,70
1,Finished,Finished,1,1,42,2007,7,19,2007-06-17,,,,,,501,1,1,73
1,Finished,Finished,1,1,43,2007,8,8,2007-07-01,,,,,,525,2,3,70
1,Finished,Finished,1,1,44,2007,9,9,2007-07-08,,,,,,547,1,3,59
1,Finished,Finished,1,1,46,2007,11,11,2007-08-05,,,,,,589,1,1,70
1,Finished,Finished,1,1,47,2007,12,5,2007-08-26,,,,,,615,2,5,58
1,Finished,Finished,1,1,48,2007,13,14,2007-09-09,,,,,,634,2,2,53
1,Finished,Finished,1,1,49,2007,14,13,2007-09-16,,,,,,658,4,4,44
1,Finished,Finished,1,1,50,2007,15,16,2007-09-30,,,,,,677,1,1,67
1,Finished,Finished,1,1,337,2010,1,3,2010-03-14,,,,,,20325,4,3,49
1,Finished,Finished,1,1,338,2010,2,1,2010-03-28,,,,,,20352,11,6,58
1,Finished,Finished,1,1,339,2010,3,2,2010-04-04,,,,,,20376,20,6,56
1,Finished,Finished,1,1,340,2010,4,17,2010-04-18,,,,,,20396,6,2,56
1,Finished,Finished,1,1,342,2010,6,6,2010-05-16,,,,,,20447,5,5,78
1,Finished,Finished,1,1,343,2010,7,5,2010-05-30,,,,,,20467,2,1,58
1,Finished,Finished,1,1,344,2010,8,7,2010-06-13,,,,,,20491,1,1,70
1,Finished,Finished,1,1,345,2010,9,12,2010-06-27,,,,,,20516,3,2,57
1,Finished,Finished,1,1,346,2010,10,9,2010-07-11,,,,,,20540,4,2,52
1,Finished,Finished,1,1,347,2010,11,10,2010-07-25,,,,,,20566,6,4,67
1,Finished,Finished,1,1,349,2010,13,13,2010-08-29,,,,,,20611,2,1,44
1,Finished,Finished,1,1,352,2010,16,22,2010-10-10,,,,,,20687,8,5,53
1,Finished,Finished,1,1,353,2010,17,35,2010-10-24,,,,,,20708,4,2,55
1,Finished,Finished,1,1,354,2010,18,18,2010-11-07,,,,,,20734,4,4,71
1,Finished,Finished,1,1,355,2010,19,24,2010-11-14,,,,,,20756,2,2,55
